race_id,timestamp,lap_number,direction,speed_frame
67,1778237009.069,1,left,3.3
67,1778237009.085,1,left,3.4
67,1778237009.102,1,left,3.5
67,1778237009.119,1,left,3.6
67,1778237009.135,1,left,3.7
67,1778237009.152,1,left,3.8
67,1778237009.169,1,left,3.9
67,1778237009.185,1,left,4.0
67,1778237009.202,1,left,4.1
67,1778237009.219,1,left,4.2
67,1778237009.235,1,left,4.3
67,1778237009.253,1,left,4.4
67,1778237009.269,1,left,4.5
67,1778237009.286,1,left,4.5
67,1778237009.303,1,left,4.5
67,1778237009.319,1,left,4.5
67,1778237009.336,1,left,4.5
67,1778237009.353,1,left,4.5
67,1778237009.37,1,left,4.5
67,1778237009.387,1,left,4.5
67,1778237009.403,1,left,4.5
67,1778237009.42,1,left,4.5
67,1778237009.437,1,left,4.5
67,1778237009.454,1,left,4.5
67,1778237009.471,1,left,4.5
67,1778237009.487,1,left,4.5
67,1778237009.504,1,left,4.5
67,1778237009.521,1,left,4.5
67,1778237009.537,1,left,4.5
67,1778237009.554,1,left,4.5
67,1778237009.906,1,left,2.213
67,1778237009.922,1,left,2.313
67,1778237009.94,1,left,2.413
67,1778237009.956,1,left,2.513
67,1778237009.974,1,left,2.613
67,1778237009.99,1,left,2.713
67,1778237010.007,1,left,2.813
67,1778237010.023,1,left,2.913
67,1778237010.04,1,left,3.013
67,1778237010.057,1,left,3.113
67,1778237010.073,1,left,3.213
67,1778237010.09,1,left,3.313
67,1778237010.106,1,left,3.413
67,1778237010.123,1,left,3.513
67,1778237010.14,1,left,3.613
67,1778237010.156,1,left,3.713
67,1778237010.173,1,left,3.813
67,1778237010.189,1,left,3.913
67,1778237010.207,1,left,4.013
67,1778237010.223,1,left,4.113
67,1778237010.24,1,left,4.213
67,1778237010.538,1,left,2.239
67,1778237010.556,1,left,2.339
67,1778237010.572,1,left,2.439
67,1778237010.589,1,left,2.539
67,1778237010.605,1,left,2.639
67,1778237010.974,1,left,4.5
67,1778237010.99,1,left,4.5
67,1778237011.007,1,left,4.5
67,1778237011.023,1,left,4.5
67,1778237011.04,1,left,4.5
67,1778237011.057,1,left,4.5
67,1778237011.073,1,left,4.5
67,1778237011.09,1,left,4.5
67,1778237011.843,1,left,4.5
67,1778237011.857,1,left,4.5
67,1778237011.874,1,left,4.5
67,1778237011.89,1,left,4.5
67,1778237011.907,1,left,4.5
67,1778237011.924,1,left,4.5
67,1778237011.94,1,left,4.5
67,1778237011.957,1,left,4.5
67,1778237011.974,1,left,4.5
67,1778237011.991,1,left,4.5
67,1778237012.008,1,left,4.5
67,1778237012.024,1,left,4.5
67,1778237012.041,1,left,4.5
67,1778237012.057,1,left,4.6
67,1778237012.074,1,left,4.7
67,1778237012.09,1,left,4.8
67,1778237012.108,1,left,4.9
67,1778237012.124,1,left,5.0
67,1778237012.141,1,left,5.1
67,1778237012.158,1,left,5.2
67,1778237012.175,1,left,5.3
67,1778237012.192,1,left,5.4
67,1778237012.208,1,left,5.5
67,1778237012.225,1,left,5.6
67,1778237012.241,1,left,5.13
67,1778237012.258,1,left,5.23
67,1778237012.612,1,right,2.415
67,1778237012.628,1,right,2.515
67,1778237012.645,1,right,2.615
67,1778237012.661,1,right,2.715
67,1778237012.678,1,right,2.815
67,1778237012.695,1,right,2.915
67,1778237013.214,1,left,6.015
67,1778237013.231,1,left,4.5
67,1778237013.247,1,left,4.5
67,1778237013.264,1,left,4.5
67,1778237013.28,1,left,4.5
67,1778237013.297,1,left,4.5
67,1778237013.314,1,left,4.5
67,1778237013.331,1,left,4.5
67,1778237013.348,1,left,4.5
67,1778237013.364,1,left,4.5
67,1778237013.38,1,left,4.5
67,1778237013.397,1,left,4.5
67,1778237013.414,1,left,4.5
67,1778237013.431,1,left,4.5
67,1778237013.448,1,left,4.5
67,1778237013.465,1,left,4.5
67,1778237013.482,1,left,4.5
67,1778237013.499,1,left,4.5
67,1778237013.515,1,left,4.45
67,1778237013.531,1,left,4.4
67,1778237013.547,1,left,4.35
67,1778237013.564,1,left,4.3
67,1778237013.581,1,left,4.25
67,1778237013.598,1,left,4.2
67,1778237013.614,1,left,4.15
67,1778237013.631,1,left,4.1
67,1778237013.647,1,left,4.05
67,1778237013.664,1,left,4.0
67,1778237014.215,1,left,2.2
67,1778237014.232,1,left,2.3
67,1778237014.249,1,left,2.4
67,1778237014.534,1,left,4.1
67,1778237014.55,1,left,4.2
67,1778237014.567,1,left,4.3
67,1778237014.583,1,left,4.4
67,1778237014.599,1,left,4.5
67,1778237014.616,1,left,4.5
67,1778237014.633,1,left,4.5
67,1778237014.65,1,left,4.5
67,1778237014.666,1,left,4.5
67,1778237015.017,1,right,4.5
67,1778237015.033,1,right,4.5
67,1778237015.05,1,right,4.5
67,1778237015.066,1,right,4.45
67,1778237015.083,1,right,4.4
67,1778237015.1,1,right,4.35
67,1778237015.116,1,right,4.3
67,1778237015.132,1,right,4.25
67,1778237015.149,1,right,4.2
67,1778237015.166,1,right,4.15
67,1778237015.183,1,right,4.1
67,1778237015.199,1,right,4.05
67,1778237015.217,1,right,4.0
67,1778237015.233,1,right,3.95
67,1778237015.25,1,right,3.9
67,1778237015.267,1,right,3.85
67,1778237015.283,1,right,3.8
67,1778237015.3,1,right,3.75
67,1778237015.316,1,right,3.7
67,1778237015.334,1,right,3.65
67,1778237015.35,1,right,3.6
67,1778237015.367,1,right,3.55
67,1778237015.384,1,right,3.5
67,1778237015.4,1,right,3.45
67,1778237015.417,1,right,3.4
67,1778237015.433,1,right,3.5
67,1778237015.45,1,right,3.6
67,1778237015.466,1,right,3.214
67,1778237015.483,1,right,3.314
67,1778237015.499,1,right,3.024
67,1778237015.517,1,right,3.124
67,1778237015.533,1,right,2.89
67,1778237015.55,1,right,2.688
67,1778237015.566,1,right,2.51
67,1778237015.584,1,right,2.61
67,1778237015.6,1,right,2.439
67,1778237015.618,1,right,2.539
67,1778237015.634,1,right,2.375
67,1778237015.651,1,right,2.227
67,1778237015.668,1,right,2.327
67,1778237015.735,1,right,2.256
67,1778237015.752,1,right,2.356
67,1778237015.786,1,right,2.286
67,1778237015.803,1,right,2.386
67,1778237015.819,1,right,2.486
67,1778237015.835,1,right,2.586
67,1778237015.852,1,right,2.686
67,1778237015.868,1,right,2.786
67,1778237015.885,1,right,2.886
67,1778237015.901,1,right,2.687
67,1778237015.918,1,right,2.787
67,1778237015.934,1,right,2.887
67,1778237015.951,1,right,2.689
67,1778237015.967,1,right,2.789
67,1778237015.984,1,right,2.889
67,1778237016.0,1,right,2.989
67,1778237016.017,1,right,3.089
67,1778237016.033,1,right,2.87
67,1778237016.05,1,right,2.97
67,1778237016.067,1,right,3.07
67,1778237016.083,1,right,3.17
67,1778237016.101,1,right,3.27
67,1778237016.117,1,right,3.033
67,1778237016.134,1,right,3.133
67,1778237016.15,1,right,3.233
67,1778237016.167,1,right,3.333
67,1778237016.183,1,right,3.433
67,1778237016.2,1,right,3.533
67,1778237016.216,1,right,3.633
67,1778237016.233,1,right,3.359
67,1778237016.25,1,right,3.459
67,1778237016.266,1,right,3.559
67,1778237016.283,1,right,3.659
67,1778237016.299,1,right,3.759
67,1778237016.316,1,right,3.859
67,1778237016.332,1,right,3.959
67,1778237016.35,1,right,4.059
67,1778237016.366,1,right,4.159
67,1778237016.383,1,right,3.833
67,1778237016.399,1,right,3.54
67,1778237016.416,1,right,3.276
