race_id,lap_number,lap_time_s
1,1,30.708
1,2,28.579
1,3,28.687
2,1,27.883
2,2,22.415
2,3,25.671
3,1,28.535
3,2,22.956
3,3,22.323
4,1,28.594
4,2,29.215
4,3,23.536
5,1,24.847
5,2,24.869
5,3,25.543
6,1,24.639
6,2,28.586
6,3,27.135
7,1,29.44
7,2,27.112
7,3,23.722
8,1,26.171
8,2,27.333
8,3,28.534
9,1,24.276
9,2,26.955
9,3,27.565
10,1,27.843
10,2,29.09
10,3,25.382
11,1,27.151
11,2,26.549
11,3,27.795
12,1,27.878
12,2,25.721
12,3,28.894
13,1,29.931
13,2,29.534
13,3,25.476
14,1,23.725
14,2,25.929
14,3,26.409
15,1,27.571
15,2,25.615
15,3,26.666
16,1,29.329
16,2,31.59
16,3,26.322
17,1,27.267
17,2,25.653
17,3,24.76
18,1,27.791
18,2,24.776
18,3,26.221
19,1,31.065
19,2,27.171
19,3,29.491
20,1,25.193
20,2,27.835
20,3,31.487
21,1,27.402
21,2,25.563
21,3,26.379
22,1,26.056
22,2,27.034
22,3,20.612
23,1,26.072
23,2,31.494
23,3,28.577
24,1,24.215
24,2,26.832
24,3,25.277
25,1,27.202
25,2,25.364
25,3,32.279
26,1,24.799
26,2,29.952
26,3,27.928
27,1,27.488
27,2,26.496
27,3,28.36
28,1,24.473
28,2,30.058
28,3,27.023
29,1,26.411
29,2,27.825
29,3,23.252
30,1,23.864
30,2,26.94
30,3,26.36
31,1,28.138
31,2,26.742
31,3,28.798
32,1,26.781
32,2,29.415
32,3,25.753
33,1,25.481
33,2,29.372
33,3,26.525
34,1,30.633
34,2,27.82
34,3,23.907
35,1,29.302
35,2,27.47
35,3,26.672
36,1,26.61
36,2,26.533
36,3,23.357
37,1,23.654
37,2,25.706
37,3,22.437
38,1,21.001
38,2,22.041
38,3,23.005
39,1,22.334
39,2,23.292
39,3,21.358
40,1,23.083
40,2,22.666
40,3,28.296
41,1,22.931
41,2,24.389
41,3,24.79
42,1,26.072
42,2,30.828
42,3,24.861
43,1,23.877
43,2,20.924
43,3,24.168
44,1,25.087
44,2,22.448
44,3,22.146
45,1,22.52
45,2,22.569
45,3,24.435
46,1,24.428
46,2,21.968
46,3,25.87
47,1,28.674
47,2,22.268
47,3,21.688
48,1,21.903
48,2,24.784
48,3,23.412
49,1,25.636
49,2,23.535
49,3,21.462
50,1,24.501
50,2,23.244
50,3,23.678
51,1,24.57
51,2,24.677
51,3,21.96
52,1,22.337
52,2,22.518
52,3,20.252
53,1,27.046
53,2,23.508
53,3,21.421
54,1,22.329
54,2,23.564
54,3,19.533
55,1,23.207
55,2,22.676
55,3,19.907
56,1,22.024
56,2,20.237
56,3,21.129
57,1,21.207
57,2,19.315
57,3,21.114
58,1,23.003
58,2,22.759
58,3,20.186
59,1,21.672
59,2,22.046
59,3,22.189
60,1,25.751
60,2,22.684
60,3,20.442
61,1,20.776
61,2,20.341
61,3,22.52
62,1,23.155
62,2,19.971
62,3,20.287
63,1,23.281
63,2,21.84
63,3,21.919
64,1,22.282
64,2,20.943
64,3,20.223
65,1,23.176
65,2,25.071
65,3,24.498
66,1,25.956
66,2,22.489
66,3,38.764
67,1,22.811
67,2,20.724
67,3,23.971
68,1,24.743
68,2,26.767
68,3,20.512
69,1,25.004
69,2,21.349
69,3,22.384
70,1,25.858
70,2,21.493
70,3,23.634
71,1,22.947
71,2,23.71
71,3,25.359
72,1,26.309
72,2,20.447
72,3,23.264
73,1,24.344
73,2,20.469
73,3,19.462
74,1,23.306
74,2,22.287
74,3,23.324
75,1,24.889
75,2,22.188
75,3,20.61
76,1,24.598
76,2,20.14
76,3,23.773
77,1,21.253
77,2,22.167
77,3,21.774
78,1,22.648
78,2,24.811
78,3,22.074
79,1,23.068
79,2,22.199
79,3,22.486
80,1,22.499
80,2,20.633
80,3,22.557
81,1,21.504
81,2,22.06
81,3,21.367
82,1,21.918
82,2,21.32
82,3,19.424
83,1,20.399
83,2,19.119
83,3,20.626
84,1,21.936
84,2,20.696
84,3,19.653
85,1,21.386
85,2,21.185
85,3,21.551
86,1,21.633
86,2,22.433
86,3,22.798
87,1,21.04
87,2,22.76
87,3,21.012
88,1,21.161
88,2,20.968
88,3,22.522
89,1,22.111
89,2,22.263
89,3,21.191
90,1,22.836
90,2,21.697
90,3,21.599
91,1,23.137
91,2,23.166
91,3,19.788
92,1,22.746
92,2,24.805
92,3,19.803
93,1,21.255
93,2,20.856
93,3,21.875
94,1,20.718
94,2,23.191
94,3,21.847
95,1,21.174
95,2,21.323
95,3,21.256
96,1,25.353
96,2,19.532
96,3,20.946
97,1,23.635
97,2,23.6
97,3,21.778
