race_id,timestamp,lap_number,path_index,x,y,speed_px_s
67,1778237007.519,1,21,200.5,232.0,0
67,1778237007.733,1,21,200.5,232.0,0
67,1778237007.933,1,21,200.5,232.0,0
67,1778237008.147,1,21,200.5,232.0,0
67,1778237008.348,1,21,200.5,232.0,0
67,1778237008.548,1,21,200.5,231.4,0.3
67,1778237008.75,1,21,200.5,220.0,1.5
67,1778237008.967,1,0,200.5,191.4,2.8
67,1778237009.169,1,0,197.3,150.2,4.0
67,1778237009.37,1,0,177.5,101.3,4.5
67,1778237009.57,1,1,147.3,63.7,0.313
67,1778237009.772,1,1,136.8,59.2,1.513
67,1778237009.974,1,1,111.0,59.9,2.713
67,1778237010.189,1,1,71.0,78.4,4.013
67,1778237010.405,1,2,56.0,96.1,1.539
67,1778237010.623,1,2,49.5,124.2,2.839
67,1778237010.823,1,2,46.4,166.0,4.039
67,1778237011.04,1,2,44.0,223.5,4.5
67,1778237011.255,1,21,51.7,281.5,4.5
67,1778237011.456,1,21,59.0,335.0,4.5
67,1778237011.658,1,3,66.4,388.5,4.5
67,1778237011.874,1,3,75.1,446.4,4.5
67,1778237012.074,1,3,95.8,496.6,4.8
67,1778237012.275,1,3,138.2,546.0,4.897
67,1778237012.476,1,3,180.5,587.6,3.143
67,1778237012.678,1,3,207.7,615.7,2.915
67,1778237012.895,1,4,236.8,652.6,4.215
67,1778237013.096,1,4,272.9,698.5,5.415
67,1778237013.297,1,4,312.8,745.2,4.5
67,1778237013.499,1,4,357.8,774.6,4.45
67,1778237013.714,1,4,397.9,786.8,0.164
67,1778237013.929,1,4,400.0,785.9,0.6
67,1778237014.13,1,5,410.2,775.1,1.8
67,1778237014.334,1,5,421.3,747.9,3.0
67,1778237014.55,1,5,436.8,702.4,4.3
67,1778237014.766,1,5,444.8,644.6,4.5
67,1778237014.983,1,6,450.4,586.4,4.5
67,1778237015.183,1,6,462.6,536.3,4.05
67,1778237015.384,1,7,486.7,498.9,3.45
67,1778237015.6,1,7,526.6,485.8,2.539
67,1778237015.803,1,7,559.6,484.8,2.486
67,1778237016.017,1,7,597.8,497.0,2.87
67,1778237016.233,1,8,632.1,526.2,3.459
67,1778237016.449,1,8,655.9,571.6,3.576
67,1778237016.663,1,8,659.2,618.7,3.841
67,1778237016.864,1,9,648.5,669.5,4.5
67,1778237017.065,1,9,636.5,722.1,4.5
67,1778237017.268,1,9,642.7,770.1,0.146
67,1778237017.484,1,9,648.7,779.2,1.446
67,1778237017.685,1,9,670.8,792.4,2.401
67,1778237017.885,1,9,706.7,798.3,3.601
67,1778237018.101,1,10,760.3,787.4,4.5
67,1778237018.302,1,10,784.4,771.5,1.261
67,1778237018.518,1,10,797.1,749.6,2.561
67,1778237018.734,1,10,801.3,707.7,3.861
67,1778237018.936,1,10,790.1,656.8,4.5
67,1778237019.136,1,8,776.3,604.6,4.5
67,1778237019.35,1,11,772.9,546.4,4.5
67,1778237019.551,1,11,775.8,492.5,4.5
67,1778237019.767,1,11,769.8,435.1,4.3
67,1778237019.97,1,11,749.7,392.1,3.7
67,1778237020.173,1,11,725.9,367.9,0.608
67,1778237020.376,1,12,711.6,363.6,1.808
67,1778237020.576,1,12,682.1,363.1,3.008
67,1778237020.778,1,12,638.2,362.8,4.208
67,1778237020.979,1,12,584.9,368.3,4.5
67,1778237021.182,1,13,531.4,376.3,4.5
67,1778237021.383,1,13,479.5,373.9,4.1
67,1778237021.584,1,13,437.6,357.4,3.5
67,1778237021.784,1,13,409.2,328.9,2.192
67,1778237021.984,1,13,406.7,318.4,1.208
67,1778237022.2,1,14,412.0,296.0,2.137
67,1778237022.401,1,14,432.3,271.1,2.334
67,1778237022.616,1,14,463.7,254.5,2.639
67,1778237022.833,1,14,500.8,252.7,2.922
67,1778237023.049,1,14,546.0,264.7,4.222
67,1778237023.267,1,12,599.7,287.0,4.5
67,1778237023.482,1,15,657.6,293.4,4.5
67,1778237023.685,1,15,710.1,281.8,4.5
67,1778237023.886,1,15,756.4,254.5,4.5
67,1778237024.102,1,16,794.5,210.5,4.5
67,1778237024.318,1,16,803.0,191.3,0.922
67,1778237024.518,1,16,799.2,173.0,2.122
67,1778237024.718,1,16,783.3,149.0,1.137
67,1778237024.92,1,16,774.3,129.6,2.337
67,1778237025.135,1,16,750.3,98.6,3.637
67,1778237025.336,1,16,707.2,72.2,4.5
67,1778237025.538,1,17,655.0,59.6,4.5
67,1778237025.754,1,17,596.5,60.6,4.5
67,1778237025.956,1,17,542.5,62.7,4.5
67,1778237026.157,1,17,488.6,64.7,4.5
67,1778237026.359,1,18,434.7,67.1,4.45
67,1778237026.576,1,18,383.7,81.5,3.8
67,1778237026.791,1,18,345.2,106.5,2.538
67,1778237026.991,1,18,327.9,123.4,0.598
67,1778237027.207,1,18,321.0,139.5,0.929
67,1778237027.424,1,18,320.9,163.8,1.396
67,1778237027.639,1,18,321.2,191.0,2.696
67,1778237027.853,1,21,318.2,235.0,3.996
67,1778237028.054,1,19,314.5,287.9,4.5
67,1778237028.271,1,19,306.2,345.6,4.5
67,1778237028.487,1,19,280.0,397.9,4.7
67,1778237028.688,1,20,232.3,440.4,5.9
67,1778237028.889,1,20,209.3,446.0,0.756
67,1778237029.09,1,20,202.1,445.0,0.623
67,1778237029.29,1,20,190.5,435.3,1.823
67,1778237029.505,1,20,177.9,405.3,3.123
67,1778237029.719,1,20,180.6,356.0,4.423
67,1778237029.921,2,21,191.9,296.2,5.623
67,1778237030.136,2,21,203.2,219.7,4.5
67,1778237030.338,2,0,195.5,166.5,4.5
67,1778237030.542,2,0,171.6,118.3,4.5
67,1778237030.742,2,1,134.1,79.8,4.5
67,1778237030.944,2,1,106.9,65.0,0.485
67,1778237031.144,2,1,100.8,64.7,0.5
67,1778237031.345,2,1,89.0,71.7,1.7
67,1778237031.549,2,2,72.9,94.6,2.9
67,1778237031.75,2,2,63.1,135.8,4.1
67,1778237031.953,2,2,64.8,189.2,4.5
67,1778237032.167,2,2,67.9,247.6,4.5
67,1778237032.369,2,21,66.1,301.5,4.5
67,1778237032.572,2,20,61.9,355.3,4.5
67,1778237032.786,2,3,57.3,415.1,5.0
67,1778237033.001,2,3,58.0,489.0,6.3
67,1778237033.216,2,3,91.9,563.3,2.547
67,1778237033.43,2,3,119.5,595.1,3.847
67,1778237033.645,2,3,159.8,638.3,5.147
67,1778237033.859,2,4,210.7,691.3,5.862
67,1778237034.061,2,4,268.6,743.9,7.062
67,1778237034.275,2,4,339.3,786.1,4.5
67,1778237034.49,2,4,379.8,794.4,0.991
67,1778237034.693,2,4,398.4,788.5,2.191
67,1778237034.896,2,5,424.0,766.2,3.391
67,1778237035.111,2,5,448.3,719.5,4.5
67,1778237035.312,2,5,456.6,666.4,4.5
67,1778237035.527,2,6,449.5,608.4,4.5
67,1778237035.741,2,6,454.3,554.3,3.9
67,1778237035.941,2,6,472.7,515.8,3.3
67,1778237036.141,2,7,499.2,490.9,3.15
67,1778237036.343,2,7,537.9,484.1,2.549
67,1778237036.558,2,7,579.0,487.8,3.226
67,1778237036.776,2,8,619.1,512.0,3.116
67,1778237036.992,2,8,645.9,545.5,2.941
67,1778237037.194,2,8,658.4,586.4,4.141
67,1778237037.41,2,8,656.1,644.1,4.5
67,1778237037.624,2,9,640.1,700.4,4.5
67,1778237037.826,2,9,638.6,753.4,4.25
67,1778237038.039,2,9,645.1,772.2,0
67,1778237038.239,2,9,646.9,773.3,0.6
67,1778237038.441,2,9,661.5,775.7,1.8
67,1778237038.656,2,9,692.6,767.0,3.1
67,1778237038.858,2,10,731.5,745.6,2.574
67,1778237039.072,2,10,752.9,714.4,3.317
67,1778237039.275,2,10,758.4,667.4,4.5
67,1778237039.491,2,8,757.4,608.9,4.5
67,1778237039.706,2,11,767.7,551.4,4.5
67,1778237039.92,2,11,776.3,494.7,4.2
67,1778237040.136,2,11,767.8,445.7,3.55
67,1778237040.351,2,11,745.9,410.6,2.9
67,1778237040.567,2,11,713.9,389.7,3.45
67,1778237040.783,2,12,661.7,379.6,4.5
67,1778237040.998,2,12,603.3,376.1,4.5
67,1778237041.2,2,12,549.5,371.7,4.45
67,1778237041.416,2,13,525.0,367.8,0.0
67,1778237041.617,2,13,528.9,370.1,0.0
67,1778237041.833,2,13,527.5,369.5,0.5
67,1778237042.05,2,13,512.0,369.8,1.8
67,1778237042.251,2,13,485.2,373.2,2.25
67,1778237042.453,2,13,463.1,367.3,1.65
67,1778237042.655,2,13,446.3,352.3,2.4
67,1778237042.871,2,13,430.2,315.7,3.7
67,1778237043.087,2,14,435.3,275.3,0.746
67,1778237043.289,2,14,447.2,265.7,1.114
67,1778237043.489,2,14,466.6,256.2,1.645
67,1778237043.704,2,14,495.3,252.1,2.564
67,1778237043.92,2,14,537.0,259.1,3.864
67,1778237044.122,2,12,588.2,270.0,4.5
67,1778237044.325,2,15,641.6,277.1,4.5
67,1778237044.541,2,15,698.8,266.6,4.5
67,1778237044.744,2,15,745.8,240.4,4.5
67,1778237044.96,2,16,784.8,197.1,4.5
67,1778237045.176,2,16,803.2,149.8,1.249
67,1778237045.377,2,16,803.9,127.2,2.449
67,1778237045.592,2,16,788.7,89.5,3.749
67,1778237045.806,2,16,771.3,74.5,2.25
67,1778237046.007,2,16,738.3,64.2,3.45
67,1778237046.222,2,17,684.4,65.5,4.75
67,1778237046.438,2,17,613.7,68.8,6.05
67,1778237046.655,2,17,526.2,73.0,7.2
67,1778237046.857,2,18,439.9,77.2,7.2
67,1778237047.059,2,18,390.4,89.4,4.0
67,1778237047.259,2,18,349.9,102.0,1.832
67,1778237047.475,2,18,332.8,112.8,0.239
67,1778237047.691,2,18,321.7,122.8,0.804
67,1778237047.907,2,18,319.3,130.1,0.583
67,1778237048.109,2,18,322.1,144.9,1.694
67,1778237048.312,2,18,321.1,173.0,2.894
67,1778237048.528,2,18,318.8,219.7,4.194
67,1778237048.732,2,19,316.1,273.3,4.5
67,1778237048.935,2,19,312.3,327.1,4.5
67,1778237049.152,2,19,293.0,382.0,4.5
67,1778237049.353,2,19,258.4,425.1,5.0
67,1778237049.554,2,20,218.4,449.0,0.458
67,1778237049.769,2,20,211.1,448.6,1.241
67,1778237049.984,2,20,189.5,436.2,2.541
67,1778237050.2,2,20,166.9,401.1,3.841
67,1778237050.415,2,20,164.0,355.7,3.881
67,1778237050.629,3,21,176.9,299.8,4.5
67,1778237050.843,3,21,191.1,243.0,4.5
67,1778237051.061,3,0,192.1,184.8,4.5
67,1778237051.276,3,0,173.5,129.6,4.5
67,1778237051.478,3,1,140.9,86.9,4.5
67,1778237051.693,3,1,110.4,64.7,0.5
67,1778237051.893,3,1,96.7,64.8,1.7
67,1778237052.094,3,1,71.6,77.0,2.9
67,1778237052.297,3,2,50.9,103.0,2.467
67,1778237052.513,3,2,42.9,141.5,2.774
67,1778237052.728,3,2,40.6,178.3,3.215
67,1778237052.929,3,2,52.0,223.1,4.415
67,1778237053.13,3,21,72.5,280.3,5.615
67,1778237053.345,3,20,87.7,360.7,6.915
67,1778237053.561,3,3,90.8,446.4,4.028
67,1778237053.776,3,3,94.9,492.1,2.35
67,1778237053.976,3,3,113.8,521.6,1.932
67,1778237054.191,3,3,136.5,544.3,1.925
67,1778237054.406,3,3,155.9,572.3,3.225
67,1778237054.62,3,3,182.1,616.0,4.5
67,1778237054.835,3,4,212.9,665.8,4.5
67,1778237055.035,3,4,251.1,703.6,4.5
67,1778237055.249,3,4,303.4,729.1,4.5
67,1778237055.464,3,4,341.3,749.8,1.869
67,1778237055.68,3,4,373.3,749.2,2.006
67,1778237055.896,3,5,397.9,729.6,2.297
67,1778237056.112,3,5,407.7,692.2,3.597
67,1778237056.312,3,5,409.0,641.8,4.5
67,1778237056.529,3,6,413.7,583.6,4.5
67,1778237056.745,3,6,435.1,531.4,4.1
67,1778237056.947,3,6,468.7,498.8,2.535
67,1778237057.163,3,7,495.5,487.8,2.261
67,1778237057.378,3,7,533.7,489.3,3.561
67,1778237057.593,3,7,583.3,511.4,4.5
67,1778237057.793,3,8,622.9,547.7,4.5
67,1778237057.996,3,8,649.3,594.6,4.5
67,1778237058.211,3,8,659.4,652.5,4.25
67,1778237058.427,3,9,653.8,710.1,4.35
67,1778237058.641,3,9,660.7,761.4,3.7
67,1778237058.842,3,9,670.4,785.5,0
67,1778237059.057,3,9,677.3,788.9,1.2
67,1778237059.271,3,9,701.8,789.4,2.5
67,1778237059.486,3,10,739.7,773.0,3.8
67,1778237059.703,3,10,779.8,733.7,4.5
67,1778237059.903,3,10,804.2,685.8,4.5
67,1778237060.104,3,10,804.9,674.0,1.299
67,1778237060.317,3,10,803.0,648.1,2.599
67,1778237060.52,3,10,800.2,609.2,3.799
67,1778237060.735,3,11,796.2,553.0,4.5
67,1778237060.936,3,11,792.0,499.1,4.5
67,1778237061.137,3,11,777.5,451.4,3.9
67,1778237061.351,3,11,749.7,414.9,3.25
67,1778237061.554,3,11,713.7,394.0,4.0
67,1778237061.77,3,12,657.4,383.8,4.5
67,1778237061.972,3,12,604.0,391.0,4.5
67,1778237062.188,3,7,546.8,403.2,4.5
67,1778237062.388,3,13,493.0,404.0,4.5
67,1778237062.603,3,13,438.9,386.7,4.15
67,1778237062.817,3,13,415.4,368.0,0.376
67,1778237063.033,3,13,411.7,356.7,1.526
67,1778237063.234,3,13,414.9,330.9,2.726
67,1778237063.435,3,14,434.5,295.7,3.926
67,1778237063.636,3,14,473.6,260.9,4.5
67,1778237063.836,3,14,517.5,253.6,2.263
67,1778237064.037,3,14,552.2,254.4,3.463
67,1778237064.254,3,12,604.9,264.3,4.5
67,1778237064.47,3,15,662.8,272.7,4.5
67,1778237064.67,3,15,716.0,265.1,4.5
67,1778237064.871,3,15,764.3,241.4,4.5
67,1778237065.072,3,16,799.5,208.7,0.202
