race_id,lap_number,sector_index,split_s
67,1,1,6.769
67,1,2,5.688
67,1,3,4.6
67,2,1,4.805
67,2,2,5.21
67,2,3,5.023
67,3,1,4.968
67,3,2,5.374
67,3,3,4.301
68,1,1,7.23
68,1,2,5.672
68,1,3,4.894
68,2,1,9.947
68,2,2,5.43
68,2,3,5.594
68,3,1,4.506
68,3,2,5.477
68,3,3,4.866
69,1,1,7.552
69,1,2,5.164
69,1,3,6.494
69,2,1,4.92
69,2,2,5.246
69,2,3,5.815
69,3,1,5.678
69,3,2,5.544
69,3,3,5.345
70,1,1,8.129
70,1,2,6.551
70,1,3,4.573
70,2,1,5.139
70,2,2,6.027
70,2,3,4.571
70,3,1,4.789
70,3,2,6.757
70,3,3,5.193
70,1,1,8.129
70,1,2,6.551
70,1,3,4.573
70,2,1,5.139
70,2,2,6.027
70,2,3,4.571
70,3,1,4.789
70,3,2,6.757
70,3,3,5.193
71,1,1,5.519
71,1,2,6.086
71,1,3,4.642
71,2,1,5.219
71,2,2,7.629
71,2,3,4.428
71,3,1,8.369
71,3,2,5.145
71,3,3,4.142
72,1,1,7.382
72,1,2,6.534
72,1,3,6.48
72,2,1,4.543
72,2,2,5.965
72,2,3,4.606
72,3,1,5.089
72,3,2,6.619
72,3,3,4.437
73,1,1,7.659
73,1,2,5.618
73,1,3,5.228
73,2,1,4.243
73,2,2,5.285
73,2,3,4.731
73,3,1,3.902
73,3,2,5.497
73,3,3,4.087
74,1,1,7.497
74,1,2,5.157
74,1,3,5.276
74,2,1,4.881
74,2,2,6.18
74,2,3,4.221
74,3,1,4.295
74,3,2,6.444
74,3,3,6.604
75,1,1,7.065
75,1,2,5.678
75,1,3,6.137
75,2,1,4.717
75,2,2,6.069
75,2,3,4.608
75,3,1,5.816
75,3,2,5.199
75,3,3,4.022
76,1,1,6.602
76,1,2,6.828
76,1,3,4.549
76,2,1,5.348
76,2,2,5.031
76,2,3,4.441
76,3,1,5.266
76,3,2,5.772
76,3,3,7.265
77,1,1,4.63
77,1,2,5.921
77,1,3,4.824
77,2,1,4.771
77,2,2,7.019
77,2,3,4.639
77,3,1,4.478
77,3,2,6.819
77,3,3,4.784
78,1,1,6.442
78,1,2,6.189
78,1,3,4.439
78,2,1,5.106
78,2,2,6.622
78,2,3,6.413
78,3,1,5.59
78,3,2,5.666
78,3,3,4.446
79,1,1,5.886
79,1,2,6.74
79,1,3,4.424
79,2,1,5.803
79,2,2,4.707
79,2,3,4.864
79,3,1,5.945
79,3,2,5.652
79,3,3,4.299
80,1,1,5.211
80,1,2,6.207
80,1,3,5.206
80,2,1,4.554
80,2,2,6.255
80,2,3,4.167
80,3,1,5.095
80,3,2,6.103
80,3,3,5.863
81,1,1,4.803
81,1,2,5.732
81,1,3,4.969
81,2,1,4.151
81,2,2,5.678
81,2,3,6.487
81,3,1,4.335
81,3,2,5.509
81,3,3,4.837
81,1,1,4.803
81,1,2,5.732
81,1,3,4.969
81,2,1,4.151
81,2,2,5.678
81,2,3,6.487
81,3,1,4.335
81,3,2,5.509
81,3,3,4.837
82,1,1,5.698
82,1,2,5.56
82,1,3,4.384
82,2,1,5.127
82,2,2,6.167
82,2,3,4.601
82,3,1,3.629
82,3,2,5.881
82,3,3,4.558
81,1,1,4.803
81,1,2,5.732
81,1,3,4.969
81,2,1,4.151
81,2,2,5.678
81,2,3,6.487
81,3,1,4.335
81,3,2,5.509
81,3,3,4.837
82,1,1,5.698
82,1,2,5.56
82,1,3,4.384
82,2,1,5.127
82,2,2,6.167
82,2,3,4.601
82,3,1,3.629
82,3,2,5.881
82,3,3,4.558
83,1,1,4.807
83,1,2,5.425
83,1,3,4.873
83,2,1,3.949
83,2,2,5.684
83,2,3,4.42
83,3,1,4.42
83,3,2,6.572
83,3,3,4.368
81,1,1,4.803
81,1,2,5.732
81,1,3,4.969
81,2,1,4.151
81,2,2,5.678
81,2,3,6.487
81,3,1,4.335
81,3,2,5.509
81,3,3,4.837
82,1,1,5.698
82,1,2,5.56
82,1,3,4.384
82,2,1,5.127
82,2,2,6.167
82,2,3,4.601
82,3,1,3.629
82,3,2,5.881
82,3,3,4.558
83,1,1,4.807
83,1,2,5.425
83,1,3,4.873
83,2,1,3.949
83,2,2,5.684
83,2,3,4.42
83,3,1,4.42
83,3,2,6.572
83,3,3,4.368
84,1,1,5.352
84,1,2,5.23
84,1,3,5.438
84,2,1,5.823
84,2,2,4.716
84,2,3,4.875
84,3,1,4.094
84,3,2,5.738
84,3,3,4.546
81,1,1,4.803
81,1,2,5.732
81,1,3,4.969
81,2,1,4.151
81,2,2,5.678
81,2,3,6.487
81,3,1,4.335
81,3,2,5.509
81,3,3,4.837
82,1,1,5.698
82,1,2,5.56
82,1,3,4.384
82,2,1,5.127
82,2,2,6.167
82,2,3,4.601
82,3,1,3.629
82,3,2,5.881
82,3,3,4.558
83,1,1,4.807
83,1,2,5.425
83,1,3,4.873
83,2,1,3.949
83,2,2,5.684
83,2,3,4.42
83,3,1,4.42
83,3,2,6.572
83,3,3,4.368
84,1,1,5.352
84,1,2,5.23
84,1,3,5.438
84,2,1,5.823
84,2,2,4.716
84,2,3,4.875
84,3,1,4.094
84,3,2,5.738
84,3,3,4.546
85,1,1,4.744
85,1,2,5.559
85,1,3,5.105
85,2,1,4.711
85,2,2,6.609
85,2,3,4.522
85,3,1,4.199
85,3,2,7.093
85,3,3,4.626
86,1,1,5.522
86,1,2,5.328
86,1,3,5.192
86,2,1,5.143
86,2,2,7.303
86,2,3,4.624
86,3,1,5.676
86,3,2,5.639
86,3,3,4.472
86,1,1,5.522
86,1,2,5.328
86,1,3,5.192
86,2,1,5.143
86,2,2,7.303
86,2,3,4.624
86,3,1,5.676
86,3,2,5.639
86,3,3,4.472
87,1,1,4.762
87,1,2,5.68
87,1,3,4.968
87,2,1,4.833
87,2,2,6.95
87,2,3,4.843
87,3,1,3.972
87,3,2,7.032
87,3,3,4.739
88,1,1,4.714
88,1,2,5.587
88,1,3,5.489
88,2,1,5.182
88,2,2,5.51
88,2,3,4.906
88,3,1,4.906
88,3,2,6.334
88,3,3,4.252
88,1,1,4.714
88,1,2,5.587
88,1,3,5.489
88,2,1,5.182
88,2,2,5.51
88,2,3,4.906
88,3,1,4.906
88,3,2,6.334
88,3,3,4.252
89,1,1,4.795
89,1,2,6.515
89,1,3,5.509
89,2,1,5.034
89,2,2,6.202
89,2,3,4.356
89,3,1,4.662
89,3,2,6.138
89,3,3,5.167
90,1,1,7.155
90,1,2,5.606
90,1,3,4.599
90,2,1,4.28
