race_id,timestamp,speed_px_s
1,1776628962.506,4.337
1,1776628962.706,4.168
1,1776628962.906,4.171
1,1776628963.106,4.888
1,1776628963.306,5.234
1,1776628963.506,4.833
1,1776628963.706,4.455
1,1776628963.906,5.41
1,1776628964.106,4.719
1,1776628964.306,4.627
1,1776628964.506,5.178
1,1776628964.706,5.374
1,1776628964.906,5.907
1,1776628965.106,5.609
1,1776628965.306,5.382
1,1776628965.506,5.272
1,1776628965.706,5.428
1,1776628965.906,5.906
1,1776628966.106,5.748
1,1776628966.306,6.49
1,1776628966.506,6.204
1,1776628966.706,5.298
1,1776628966.906,5.909
1,1776628967.106,5.6
1,1776628967.306,5.575
1,1776628967.506,5.758
1,1776628967.706,6.182
1,1776628967.906,6.0
1,1776628968.106,6.043
1,1776628968.306,6.158
1,1776628968.506,5.784
1,1776628968.706,5.837
1,1776628968.906,6.353
1,1776628969.106,5.882
1,1776628969.306,5.33
1,1776628969.506,5.836
1,1776628969.706,6.266
1,1776628969.906,5.293
1,1776628970.106,5.281
1,1776628970.306,6.083
1,1776628970.506,5.799
1,1776628970.706,5.537
1,1776628970.906,6.18
1,1776628971.106,5.203
1,1776628971.306,6.247
1,1776628971.506,5.311
1,1776628971.706,5.301
1,1776628971.906,5.31
1,1776628972.106,5.269
1,1776628972.306,5.227
1,1776628972.506,4.478
1,1776628972.706,4.831
1,1776628972.906,4.69
1,1776628973.106,4.825
1,1776628973.306,4.499
1,1776628973.506,4.968
1,1776628973.706,4.336
1,1776628973.906,4.292
1,1776628974.106,4.218
1,1776628974.306,3.693
1,1776628974.506,4.28
1,1776628974.706,3.572
1,1776628974.906,3.991
1,1776628975.106,4.129
1,1776628975.306,4.349
1,1776628975.506,4.631
1,1776628975.706,3.55
1,1776628975.906,2.903
1,1776628976.106,3.463
1,1776628976.306,3.342
1,1776628976.506,2.823
1,1776628976.706,0.92
1,1776628976.906,1.579
1,1776628977.106,1.452
1,1776628977.306,1.659
1,1776628977.506,1.066
1,1776628977.706,0.485
1,1776628977.906,1.19
1,1776628978.106,1.421
1,1776628978.306,1.125
1,1776628978.506,2.699
1,1776628978.706,3.025
1,1776628978.906,2.623
1,1776628979.106,2.623
1,1776628979.306,3.079
1,1776628979.506,2.814
1,1776628979.706,2.728
1,1776628979.906,2.62
1,1776628980.106,3.043
1,1776628980.306,2.592
1,1776628980.506,3.073
1,1776628980.706,2.863
1,1776628980.906,3.231
1,1776628981.106,2.88
1,1776628981.306,3.573
1,1776628981.506,2.343
1,1776628981.706,3.575
1,1776628981.906,3.293
1,1776628982.106,3.124
1,1776628982.306,3.163
1,1776628982.506,3.368
1,1776628982.706,3.462
1,1776628982.906,4.92
1,1776628983.106,3.601
1,1776628983.306,3.665
1,1776628983.506,4.498
1,1776628983.706,4.043
1,1776628983.906,3.492
1,1776628984.106,4.067
1,1776628984.306,4.565
1,1776628984.506,3.846
1,1776628984.706,4.51
1,1776628984.906,4.126
1,1776628985.106,5.813
1,1776628985.306,6.336
1,1776628985.506,4.753
1,1776628985.706,5.192
1,1776628985.906,5.012
1,1776628986.106,3.851
1,1776628986.306,5.124
1,1776628986.506,5.819
1,1776628986.706,5.307
1,1776628986.906,5.141
1,1776628987.106,5.662
1,1776628987.306,5.349
1,1776628987.506,7.56
1,1776628987.706,5.799
1,1776628987.906,7.56
1,1776628988.106,5.844
1,1776628988.306,5.908
1,1776628988.506,5.43
1,1776628988.706,5.809
1,1776628988.906,5.827
1,1776628989.106,5.856
1,1776628989.306,5.403
1,1776628989.506,5.829
1,1776628989.706,6.335
1,1776628989.906,6.031
1,1776628990.106,6.343
1,1776628990.306,5.291
1,1776628990.506,5.642
1,1776628990.706,5.077
1,1776628990.906,5.795
1,1776628991.106,5.985
1,1776628991.306,5.709
1,1776628991.506,5.878
1,1776628991.706,5.826
1,1776628991.906,6.069
1,1776628992.106,5.579
1,1776628992.306,6.468
1,1776628992.506,5.528
1,1776628992.706,3.606
1,1776628992.906,2.791
1,1776628993.106,2.687
1,1776628993.306,1.438
1,1776628993.506,2.858
1,1776628993.706,1.558
1,1776628993.906,2.495
1,1776628994.106,2.577
1,1776628994.306,0.467
1,1776628994.506,5.358
1,1776628994.706,4.893
1,1776628994.906,5.422
1,1776628995.106,4.412
1,1776628995.306,4.898
1,1776628995.506,4.642
1,1776628995.706,4.537
1,1776628995.906,5.121
1,1776628996.106,4.787
1,1776628996.306,4.454
1,1776628996.506,4.535
1,1776628996.706,4.734
1,1776628996.906,3.816
1,1776628997.106,4.127
1,1776628997.306,4.263
1,1776628997.506,3.453
1,1776628997.706,3.265
1,1776628997.906,3.48
1,1776628998.106,3.448
1,1776628998.306,3.831
1,1776628998.506,3.291
1,1776628998.706,2.95
1,1776628998.906,3.9
1,1776628999.106,3.253
1,1776628999.306,4.847
1,1776628999.506,2.892
1,1776628999.706,3.249
1,1776628999.906,3.198
1,1776629000.106,3.165
1,1776629000.306,2.99
1,1776629000.506,2.77
1,1776629000.706,2.952
1,1776629000.906,2.787
1,1776629001.106,3.324
1,1776629001.306,3.229
1,1776629001.506,3.007
1,1776629001.706,3.071
1,1776629001.906,2.735
1,1776629002.106,3.114
1,1776629002.306,2.791
1,1776629002.506,3.004
1,1776629002.706,2.187
1,1776629002.906,2.78
1,1776629003.106,3.088
1,1776629003.306,2.569
1,1776629003.506,3.5
1,1776629003.706,3.116
1,1776629003.906,2.712
1,1776629004.106,2.688
1,1776629004.306,3.102
1,1776629004.506,3.072
1,1776629004.706,3.258
1,1776629004.906,2.905
1,1776629005.106,3.057
1,1776629005.306,3.205
1,1776629005.506,3.406
1,1776629005.706,3.922
1,1776629005.906,3.381
1,1776629006.106,3.355
1,1776629006.306,3.331
1,1776629006.506,3.387
1,1776629006.706,3.997
1,1776629006.906,4.524
1,1776629007.106,3.876
1,1776629007.306,3.786
1,1776629007.506,4.54
1,1776629007.706,4.428
1,1776629007.906,3.827
1,1776629008.106,5.0
1,1776629008.306,5.251
1,1776629008.506,4.9
1,1776629008.706,2.942
1,1776629008.906,2.068
1,1776629009.106,1.527
1,1776629009.306,2.785
1,1776629009.506,2.975
1,1776629009.706,3.191
1,1776629009.906,1.569
1,1776629010.106,1.911
1,1776629010.306,1.963
1,1776629010.506,5.533
1,1776629010.706,7.56
1,1776629010.906,5.718
1,1776629011.106,4.983
1,1776629011.306,5.561
1,1776629011.506,5.634
1,1776629011.706,6.56
1,1776629011.906,5.342
1,1776629012.106,5.942
1,1776629012.306,5.409
1,1776629012.506,6.784
1,1776629012.706,5.822
1,1776629012.906,5.797
1,1776629013.106,5.924
1,1776629013.306,5.941
1,1776629013.506,6.167
1,1776629013.706,6.192
1,1776629013.906,5.852
1,1776629014.106,5.71
1,1776629014.306,5.262
1,1776629014.506,6.174
1,1776629014.706,5.932
1,1776629014.906,6.229
1,1776629015.106,6.048
1,1776629015.306,5.653
1,1776629015.506,5.33
1,1776629015.706,5.464
1,1776629015.906,4.937
1,1776629016.106,5.311
1,1776629016.306,5.188
1,1776629016.506,5.266
1,1776629016.706,5.279
1,1776629016.906,5.059
1,1776629017.106,5.264
1,1776629017.306,4.617
1,1776629017.506,5.051
1,1776629017.706,4.747
1,1776629017.906,4.929
1,1776629018.106,4.793
1,1776629018.306,4.546
1,1776629018.506,4.818
1,1776629018.706,4.842
1,1776629018.906,4.097
1,1776629019.106,4.315
1,1776629019.306,3.684
1,1776629019.506,4.575
1,1776629019.706,4.013
1,1776629019.906,3.772
1,1776629020.106,4.213
1,1776629020.306,3.907
1,1776629020.506,3.311
1,1776629020.706,3.996
1,1776629020.906,3.586
1,1776629021.106,3.556
1,1776629021.306,3.61
1,1776629021.506,3.443
1,1776629021.706,2.825
1,1776629021.906,3.019
1,1776629022.106,3.559
1,1776629022.306,3.249
1,1776629022.506,2.743
1,1776629022.706,2.968
1,1776629022.906,2.769
1,1776629023.106,2.734
1,1776629023.306,2.998
1,1776629023.506,3.208
1,1776629023.706,2.706
1,1776629023.906,2.868
1,1776629024.106,3.155
1,1776629024.306,3.543
1,1776629024.506,3.06
1,1776629024.706,1.436
1,1776629024.906,0.958
1,1776629025.106,1.349
1,1776629025.306,1.988
1,1776629025.506,1.484
1,1776629025.706,0.757
1,1776629025.906,1.037
1,1776629026.106,0.934
1,1776629026.306,0.899
1,1776629026.506,3.13
1,1776629026.706,3.493
1,1776629026.906,2.855
1,1776629027.106,3.147
1,1776629027.306,2.96
1,1776629027.506,2.918
1,1776629027.706,2.884
1,1776629027.906,3.566
1,1776629028.106,3.537
1,1776629028.306,3.613
1,1776629028.506,3.571
1,1776629028.706,4.075
1,1776629028.906,3.691
1,1776629029.106,3.801
1,1776629029.306,4.165
1,1776629029.506,4.585
1,1776629029.706,4.432
1,1776629029.906,4.069
1,1776629030.106,4.299
1,1776629030.306,4.909
1,1776629030.506,4.501
1,1776629030.706,4.633
1,1776629030.906,4.739
1,1776629031.106,4.409
1,1776629031.306,4.827
1,1776629031.506,4.742
1,1776629031.706,4.974
1,1776629031.906,4.866
1,1776629032.106,4.872
1,1776629032.306,5.22
1,1776629032.506,5.418
1,1776629032.706,5.688
1,1776629032.906,5.348
1,1776629033.106,5.259
1,1776629033.306,5.883
1,1776629033.506,5.643
1,1776629033.706,5.614
1,1776629033.906,5.502
1,1776629034.106,5.916
1,1776629034.306,5.118
1,1776629034.506,5.691
1,1776629034.706,6.296
1,1776629034.906,7.56
1,1776629035.106,5.973
1,1776629035.306,6.14
1,1776629035.506,5.651
1,1776629035.706,6.027
1,1776629035.906,6.096
1,1776629036.106,6.043
1,1776629036.306,6.509
1,1776629036.506,5.516
1,1776629036.706,5.426
1,1776629036.906,5.58
1,1776629037.106,5.593
1,1776629037.306,5.685
1,1776629037.506,6.055
1,1776629037.706,6.272
1,1776629037.906,6.012
1,1776629038.106,5.884
1,1776629038.306,5.53
1,1776629038.506,5.134
1,1776629038.706,5.937
1,1776629038.906,5.29
1,1776629039.106,5.598
1,1776629039.306,5.3
1,1776629039.506,4.916
1,1776629039.706,5.595
1,1776629039.906,5.071
1,1776629040.106,5.081
1,1776629040.306,5.56
1,1776629040.506,6.421
1,1776629040.706,1.537
1,1776629040.906,2.136
1,1776629041.106,1.728
1,1776629041.306,2.475
1,1776629041.506,2.016
1,1776629041.706,1.494
1,1776629041.906,1.937
1,1776629042.106,1.456
1,1776629042.306,2.96
